DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
27-Nov-2025,EQ,"3,180.00","3,180.00","3,125.00","3,162.90","3,134.00","3,136.60","3,142.97","4,494.90","2,866.60","28,36,233","8,91,41,92,099.10","1,71,374"
26-Nov-2025,EQ,"3,118.80","3,178.00","3,117.00","3,119.20","3,162.90","3,162.90","3,157.95","4,494.90","2,866.60","25,08,527","7,92,18,09,747.00","1,12,405"
25-Nov-2025,EQ,"3,145.30","3,149.80","3,115.00","3,141.20","3,115.70","3,119.20","3,127.55","4,494.90","2,866.60","27,37,920","8,56,29,68,101.70","1,44,573"
24-Nov-2025,EQ,"3,158.00","3,178.90","3,131.00","3,150.60","3,134.00","3,141.20","3,151.71","4,494.90","2,866.60","67,03,764","21,12,83,17,183.50","1,76,937"
21-Nov-2025,EQ,"3,144.80","3,170.00","3,135.20","3,144.80","3,150.00","3,150.60","3,153.22","4,494.90","2,866.60","41,77,037","13,17,11,33,172.80","1,36,571"
20-Nov-2025,EQ,"3,148.00","3,164.50","3,138.10","3,147.70","3,149.80","3,144.80","3,152.05","4,494.90","2,866.60","27,00,767","8,51,29,40,687.70","1,13,822"
19-Nov-2025,EQ,"3,097.00","3,155.00","3,083.50","3,087.10","3,147.00","3,147.70","3,136.67","4,494.90","2,866.60","31,51,053","9,88,38,20,509.80","1,60,625"
18-Nov-2025,EQ,"3,102.00","3,105.00","3,078.00","3,102.20","3,080.10","3,087.10","3,090.92","4,494.90","2,866.60","25,48,350","7,87,67,55,648.90","1,10,903"
17-Nov-2025,EQ,"3,106.00","3,123.50","3,086.60","3,106.00","3,100.00","3,102.20","3,099.87","4,494.90","2,866.60","22,32,853","6,92,15,46,326.90","96,155"
14-Nov-2025,EQ,"3,090.00","3,113.10","3,077.30","3,105.70","3,112.00","3,106.00","3,095.35","4,494.90","2,866.60","22,10,794","6,84,31,77,119.90","1,05,008"
13-Nov-2025,EQ,"3,131.80","3,131.90","3,102.00","3,131.80","3,104.80","3,105.70","3,113.07","4,494.90","2,866.60","17,40,435","5,41,80,91,012.50","1,20,845"
12-Nov-2025,EQ,"3,060.00","3,136.40","3,057.10","3,047.00","3,125.10","3,131.80","3,114.78","4,494.90","2,866.60","44,60,315","13,89,29,02,410.20","1,75,446"
11-Nov-2025,EQ,"3,045.00","3,055.70","3,018.00","3,025.20","3,049.00","3,047.00","3,037.03","4,494.90","2,866.60","28,06,868","8,52,45,41,738.50","1,12,361"
10-Nov-2025,EQ,"2,993.00","3,047.90","2,992.00","2,991.80","3,025.00","3,025.20","3,022.51","4,494.90","2,866.60","15,56,656","4,70,50,08,219.70","78,119"
07-Nov-2025,EQ,"3,001.00","3,004.00","2,960.50","3,010.90","2,993.50","2,991.80","2,979.65","4,494.90","2,866.60","18,30,520","5,45,43,08,584.30","1,06,949"
06-Nov-2025,EQ,"2,990.10","3,024.00","2,990.00","2,990.20","3,010.00","3,010.90","3,010.50","4,494.90","2,866.60","25,42,721","7,65,48,60,638.80","2,00,775"
04-Nov-2025,EQ,"3,019.60","3,029.30","2,976.00","3,016.80","2,987.70","2,990.20","2,992.11","4,494.90","2,866.60","26,70,720","7,99,10,78,689.60","1,68,525"
03-Nov-2025,EQ,"3,046.90","3,058.00","3,010.00","3,058.00","3,019.50","3,016.80","3,024.83","4,494.90","2,866.60","21,94,877","6,63,91,24,030.70","1,01,452"
31-Oct-2025,EQ,"3,035.00","3,067.40","3,025.10","3,035.30","3,060.00","3,058.00","3,055.61","4,494.90","2,866.60","18,68,085","5,70,81,36,334.30","81,376"
30-Oct-2025,EQ,"3,049.10","3,063.80","3,032.80","3,057.60","3,035.50","3,035.30","3,039.99","4,494.90","2,866.60","22,41,536","6,81,42,45,032.00","1,15,244"
